"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"113","#RicardoFuller #PremierLeague #Jamaica https://t.co/UNDDubbz9L",FALSE,0,NA,2017-04-22 03:54:09,FALSE,NA,"855630780667744256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","saggle2012",0,FALSE,FALSE,NA,NA
"114","IPL reaches new landmark - #soccer #Fifa #football #fussball #PremierLeague https://t.co/sjm5bjbQQs",FALSE,0,NA,2017-04-22 03:46:41,FALSE,NA,"855628900055097347",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","wcup20142",0,FALSE,FALSE,NA,NA
"115","Man United, Liverpool headline Matchday 34 action - #soccer #Fifa #football #fussball #PremierLeague https://t.co/PYNPG7d9bA",FALSE,0,NA,2017-04-22 03:46:27,FALSE,NA,"855628843155062784",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","wcup20142",0,FALSE,FALSE,NA,NA
"116","#PremierLeague Live Commentary Chelsea v Spurs: Ben Andrews and Jason Cundy provide live commentary from Wembley Stadium as the Blues face…",FALSE,0,NA,2017-04-22 03:46:13,FALSE,NA,"855628785130983425",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","PremierLeague8",0,FALSE,FALSE,NA,NA
"117","#PremierLeague Half Time Update: The half-time update from Wembley as the Blues take on Tottenham Hotspur in the semi-finals of the FA Cup.",FALSE,0,NA,2017-04-22 03:46:13,FALSE,NA,"855628782346002433",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","PremierLeague8",0,FALSE,FALSE,NA,NA
"118","Who will win the #epl #premierleague 2016/17 ? ...",FALSE,1,NA,2017-04-22 03:45:08,FALSE,NA,"855628511377272832",NA,"<a href=""https://www.tweetsuite.com/"" rel=""nofollow"">Tweet Suite</a>","FootyNews247",0,FALSE,FALSE,NA,NA
"119","Gabriel Jesus set for return versus Arsenal in FA Cup semi https://t.co/8kM1b6PMRs #premierleague https://t.co/2wxLsyf66b",FALSE,0,NA,2017-04-22 03:41:23,FALSE,NA,"855627566388043776",NA,"<a href=""http://twibble.io"" rel=""nofollow"">Twibble.io</a>","footyfans247",0,FALSE,FALSE,NA,NA
"120","Do you know?
#Football #Arsenal #PremierLeague #Chelsea #CFC #AFC https://t.co/7DgLP6ukRE",FALSE,0,NA,2017-04-22 03:38:31,FALSE,NA,"855626846947377153",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","LiveStreamFIFA2",0,FALSE,FALSE,NA,NA
"121","Let's to this!! Win for this season! #PremierLeague https://t.co/NkYWgZqZgL",FALSE,0,NA,2017-04-22 03:37:54,FALSE,NA,"855626689304379392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ameyaraje",0,FALSE,FALSE,NA,NA
"122","#PremierLeague : Race for Champions League Zone #COYG ������������������ #FACup #FACupSemifinal #AFCvMCFC https://t.co/yZ62WMECnj",FALSE,1,NA,2017-04-22 03:32:23,FALSE,NA,"855625303531466752",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ArsenalFC_1886",0,FALSE,FALSE,NA,NA
"123","#PremierLeague [Week 34] : Berikut Jadwal Liga Inggris Pekan Ke 34 ������ 
#FACup #FACupSemifinal #AFCvMCFC https://t.co/x6Cm5wQzqK",FALSE,1,NA,2017-04-22 03:30:32,FALSE,NA,"855624835900121088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ArsenalFC_1886",0,FALSE,FALSE,NA,NA
"124","#PremierLeague Wembley Live - Eidur and Jimmy: Eidur Gudjohnsen and Jimmy Floyd Hasselbaink are special guests in the Wembley studio, as…",FALSE,0,NA,2017-04-22 03:29:10,FALSE,NA,"855624493712134144",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","PremierLeague8",0,FALSE,FALSE,NA,NA
"125","#PremierLeague Post Match at Wembley: Eidur Gudjohnsen and Jimmy Floyd Hasselbaink join Ben and Jason to provide comments and analysis on…",FALSE,0,NA,2017-04-22 03:29:10,FALSE,NA,"855624491845640193",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","PremierLeague8",0,FALSE,FALSE,NA,NA
"126","#PremierLeague Chelsea v Blackburn - U18s 2016/17: Chelsea U18s take on Blackburn U18s in the U18 Premier League at Cobham Training Centre.",FALSE,0,NA,2017-04-22 03:29:09,FALSE,NA,"855624490092339200",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","PremierLeague8",0,FALSE,FALSE,NA,NA
